area_quemada;clase_incendio;mes_incendio;vegetacion;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_cont
3.0;B;Diciembre;Desierto polar_roca;59.8;8.4;0.0;86.8
60.0;C;Febrero;Bosque tropical perennifolio secundario;168.8;42.2;18.1;124.5
1.0;B;Junio;Bosque tropical perennifolio;10.4;7.2;0.0;0.0
5.2;B;Enero;Matorral abierto;26.0;0.0;0.0;0.0
1.0;B;Noviembre;Matorral abierto;28.4;27.5;1.2;55.4
1.0;B;Agosto;Desierto polar_roca;6.6;3.3;0.0;46.4
1.0;B;Abril;Desierto polar_roca;12.3;1.8;0.0;0.0
8.3;B;Marzo;Matorral abierto;76.3;26.2;8.4;40.5
1.0;B;Octubre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Julio;Matorral abierto;62.8;4.3;0.0;56.2
1.0;B;Agosto;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
5.0;B;Diciembre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
40.0;C;Abril;Matorral abierto;0.0;0.0;0.0;0.0
2.0;B;Enero;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Abril;Bosque templado;52.9;38.4;2.3;30.5
20.0;C;Junio;Matorral abierto;93.7;85.3;41.4;154.3
1.2;B;Abril;Desierto polar_roca;21.2;21.2;9.2;0.0
0.75;B;Enero;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
2.0;B;Septiembre;Bosque tropical perennifolio secundario;1.8;1.8;1.5;9.2
30.18;C;Octubre;Matorral abierto;0.0;0.0;0.0;0.0
1420.0;F;Julio;Bosque tropical perennifolio secundario;2.5;0.0;0.0;0.0
0.7;B;Marzo;Matorral abierto;109.4;9.2;0.0;19.5
1.05;B;Enero;Matorral abierto;0.0;0.0;0.0;0.0
20.0;C;Septiembre;Matorral abierto;38.6;32.0;29.0;26.5
55.0;C;Abril;Bosque tropical perennifolio;54.5;11.7;4.3;0.0
1.0;B;Agosto;Matorral abierto;0.0;0.0;0.0;9.1
2.0;B;Mayo;Desierto polar_roca;11.6;11.1;11.1;30.6
10.0;C;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
3.2;B;Julio;Pradera_estepa;3.1;2.8;2.8;0.0
1.0;B;Octubre;Matorral abierto;65.6;51.9;38.4;33.9
15.3;C;Diciembre;Bosque tropical perennifolio;150.8;104.8;17.0;0.0
270.0;D;Octubre;Desierto polar_roca;145.8;14.4;0.0;0.0
1.55;B;Abril;Pradera_estepa;87.5;33.3;31.2;0.0
57.0;C;Abril;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
5.0;B;Septiembre;Matorral abierto;0.0;0.0;0.0;0.0
1.5;B;Julio;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
1.0;B;Enero;Matorral abierto;0.0;0.0;0.0;0.0
2.0;B;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
19.3;C;Marzo;Matorral abierto;30.4;21.3;17.0;8.7
10.5;C;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
4.0;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
10.0;C;Octubre;Pradera_estepa;38.4;4.1;2.3;9.4
3.2;B;Abril;Pradera_estepa;0.0;0.0;0.0;0.0
5.0;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
450.0;E;Julio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Septiembre;Bosque tropical perennifolio;41.2;1.0;1.0;72.5
108.0;D;Julio;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
3.02;B;Diciembre;Matorral abierto;0.0;0.0;0.0;0.0
13.65;C;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
0.7;B;Julio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
3.0;B;Agosto;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Abril;Matorral abierto;0.0;0.0;0.0;0.0
20.0;C;Abril;Desierto polar_roca;21.0;18.0;12.7;0.0
1.17;B;Junio;Pradera_estepa;0.0;0.0;0.0;0.0
1.0;B;Octubre;Desierto polar_roca;35.5;31.6;14.3;0.0
4.0;B;Enero;Matorral abierto;0.0;0.0;0.0;0.0
9.94;B;Febrero;Matorral abierto;96.5;8.1;0.0;0.0
